-0.355 -2.735 1.194 -1.038 0.586 -0.213 1.143 0.454 0.097 -0.016
-0.327 -0.535 0.743 0.628 1.525 0.492 0.979 -1.417 -0.226 0.449
0.083 2.209 -0.121 0.867 2.143 -0.323 0.492 -0.919 -0.317 -0.522
0.433 -0.605 -0.031 2.071 -0.746 0.822 1.257 -1.448 0.634 -1.055
-1.435 -1.003 -0.594 -1.531 -1.414 0.594 -1.481 0.039 -0.047 1.152
-0.499 1.683 2.247 1.444 -0.418 -2.977 -0.968 -0.308 -1.816 -0.446
1.627 1.555 0.31 -0.074 1.414 1.007 0.555 0.003 -2.789 0.005
-0.239 -1.05 1.991 -0.362 -0.847 0.884 0.759 -1.406 0.262 -0.206
-0.961 0.096 -0.119 -0.777 0.166 -0.405 -0.572 1.624 0.119 0.049
-0.152 0.251 -0.272 -0.25 -0.048 -2.619 1.158 0.139 0.332 0.926
0.35 0.033 0.478 0.637 -0.033 -0.319 0.57 -0.837 -0.413 -1.64
-0.795 -0.015 1.774 -1.568 0.302 -1.12 -0.917 -0.091 1.118 0.277
-0.622 -0.554 -0.47 0.7 -0.656 1.46 1.701 0.63 -0.7 -0.674
1.429 -1.163 -0.925 0.973 -0.052 0.409 -0.024 0.384 -0.35 0.203
-2.084 0.1 0.001 -0.07 0.773 1.132 -0.769 -0.609 1.816 1.307
0.462 -0.603 0.264 -0.373 2.173 -1.875 0.261 0.064 -0.814 -0.456
1.288 1.833 0.292 -0.294 0.572 0.917 0.743 -1.727 0.99 -1.903
-0.956 -0.965 0.781 -1.717 0.815 -0.546 -0.162 0.716 -1.781 -0.392
1.195 -0.397 0.404 -0.053 -1.078 -0.605 0.435 0.036 -0.044 -1.107
-0.405 0.089 -0.325 0.217 -0.579 0.025 0.861 -0.184 0.89 1.757
