1.693 -0.453 -0.362 0.971 0.539 0.238 -0.214 -1.162 -0.102 0.14
0.457 -0.620 -0.984 -1.143 -0.691 -1.203 1.082 -0.647 -0.667 1.581
1.067 -1.925 1.365 2.047 1.084 -0.308 -0.171 1.572 -0.705 -0.297
-0.127 -1.425 0.867 0.007 0.629 -1.537 -0.810 0.130 -0.220 -0.351
0.188 0.268 -0.428 0.746 0.756 -0.620 -0.005 -0.804 -0.45 0.872
0.821 -0.271 -0.571 -1.022 0.559 -1.372 0.515 0.086 -0.332 0.327
0.597 0.164 -1.416 -0.112 -0.619 0.675 -0.652 2.545 1.844 -0.006
0.039 -0.473 -1.056 0.062 -1.246 0.056 0.014 -0.086 0.287 0.064
-1.126 0.452 1.767 -0.439 0.095 1.323 1.213 1.287 -0.269 -0.168
0.682 -0.271 2.108 1.835 0.066 -0.232 1.411 0.248 -0.182 -0.962
-0.028 0.919 0.915 0.069 -1.132 -0.923 -1.911 1.558 0.262 -0.957
-1.542 -1.171 -0.568 -0.122 -1.468 0.588 -0.994 -0.122 0.573 1.923
-0.158 -1.213 0.590 0.454 -0.792 -0.698 0.612 0.122 -0.207 1.016
0.091 2.016 0.193 0.092 -1.857 0.586 1.149 -0.291 -2.691 -2.676
0.337 2.704 -2.068 -3.503 -0.266 -1.389 -0.612 -0.556 2.156 -0.005
0.251 0.409 0.632 0.977 -1.004 0.928 -1.032 -1.060 1.297 1.204
0.792 1.675 -0.038 1.306 -0.125 -0.127 1.804 1.301 1.134 1.093
0.592 0.515 -0.793 0.901 -1.353 0.304 0.367 0.980 1.462 1.093
0.578 -0.177 -1.041 -0.731 1.331 -1.079 -0.319 0.453 -1.001 0.135
0.291 0.010 0.298 0.820 0.451 -1.305 -0.504 0.446 -0.638 0.256
